X,F,G
"[0.8196549083378163, 1.0, 1.0]","[2.8196549083378164, 75.99066133893757, 31.577480995416657]","[-7.180345091662184, -4.811242526545619, -5.380268086704287, -5.153798589456709, -5.995292244483866, -5.76111542863884, -5.730956171039284, -6.393481731937957, -7.504511761607287, -6.644195586466459, -9.077884265834141, -8.460612504084693, -8.205074517795245, -6.146412273152066, -37.03892011177109, -39.89665827870233, -41.88103781685149, -45.38928236745445, -30.62877886483699, -93.3336220565901, -54.90935491029233, -81.97423887822471, -98.45699639692141, -99.85284939558709, -99.99929824851965]"
"[0.7702259497912252, 1.0, 1.001334833598463]","[2.7715607833896883, 80.894622843993, 35.43056992443392]","[-7.228439216610312, -4.671113547176805, -5.318587168167291, -5.052195673711121, -5.9697825147739225, -5.7144891227357535, -5.727319914901899, -5.96443940594153, -7.240757500312348, -6.206090703551035, -8.98841624440028, -8.261232338264357, -8.181000701107918, -1.1865573053021023, -39.56475305421492, -38.116841474902564, -41.07016341202825, -44.574396156180164, -30.36548021901688, -91.6948447720867, -54.06281501725697, -81.94870420786152, -98.45504191669943, -99.84321469841609, -99.99925183946354]"
"[0.8351068262395445, 1.0, 1.0]","[2.8351068262395445, 74.72525036485361, 30.57407907956401]","[-7.164893173760456, -4.850147027943481, -5.387112763350666, -5.181983113443245, -6.00225986572841, -5.774057101792356, -5.732166993204909, -6.484947346632705, -7.572002210234832, -6.762542875095509, -9.102482213754973, -8.51433741929825, -8.212933035796926, -7.510000223067493, -36.384457358891325, -40.37840756335423, -42.10570303577177, -45.609558166529396, -30.721573967379776, -93.76547825825081, -55.127281259379906, -81.97811272959412, -98.45709824719451, -99.85538673321511, -99.99931105687433]"
"[1.2317634620760518, 1.0, 1.3776843307714826]","[3.6094477928475346, 57.82119437835422, 12.289093424347726]","[-6.390552207152465, -5.387995423648455, -5.628275911976302, -5.612942126356348, -6.078235002112878, -5.971920519338274, -5.814996226127483, -8.412178874072122, -8.690879286253079, -8.471680816189602, -9.462997927199995, -9.295950970596289, -8.738301152655668, -36.05228393993251, -41.35373754060343, -45.23733225119143, -46.27453800901033, -47.53959976579657, -39.930543064218895, -97.99452257873705, -59.332818140967284, -82.277119537001, -98.47344961220801, -99.89974241083159, -99.99963982407141]"
"[1.8783169209536545, 1.1495101481093672, 2.22227179918285]","[5.250098868245871, 53.0868778281679, 3.7343038725164934]","[-4.749901131754129, -5.694779996950175, -5.834434876180556, -5.863414049930972, -6.124374890542153, -6.087458409078404, -5.915109061416707, -9.451279635798004, -9.367382349129922, -9.34242990959706, -9.709777645054665, -9.696482945738289, -9.302390650075184, -47.02161677412711, -47.07715507864087, -48.50079369902386, -48.64731248171123, -49.21492129846482, -46.43859515979307, -99.23598942829739, -60.99415816803845, -82.5642304500295, -98.49049682365127, -99.91080448538983, -99.99984979293]"
"[1.3671703365725882, 1.0, 1.2238714661418884]","[3.591041802714477, 56.93803389105466, 13.280317748380744]","[-6.408958197285523, -5.504213902623297, -5.5468196116831345, -5.568264615822281, -6.105928941605067, -5.944475372626487, -5.8071541668118645, -8.36821323067877, -8.382899032357724, -8.562453201588898, -9.520224737030968, -9.324063671184943, -8.662675113675604, -35.35204521259591, -36.759403251159995, -40.164611112269824, -46.435583024915914, -45.16191011312205, -38.19228527692813, -97.72494956356249, -58.70776111237474, -82.16335639425117, -98.46796715013436, -99.89530553454368, -99.99962103361155]"
"[1.3317727201702616, 1.0, 1.5559412657154599]","[3.8877139858857213, 55.8884079349546, 9.58400183403853]","[-6.112286014114279, -5.455811213878073, -5.689456976268633, -5.673677184023706, -6.083098877921205, -6.000599884034792, -5.832249841388811, -8.743848538350075, -8.887972126000166, -8.703123051827923, -9.512020869669117, -9.40354537270925, -8.86715574494989, -40.01275817381934, -43.43669083813216, -46.70627529333405, -46.90122839762639, -48.26773122025289, -41.89937516267738, -98.3919691501303, -59.990688690694995, -82.35584310943759, -98.47775353975683, -99.90596033637216, -99.99970151969274]"
"[0.841952089072848, 1.0, 1.0]","[2.841952089072848, 74.19852272300092, 30.15713375099959]","[-7.158047910927152, -4.866779829623737, -5.389754042150322, -5.193969548247961, -6.005217722927216, -5.7795545987989865, -5.732668005776143, -6.523551539148997, -7.599817861209171, -6.81249849046451, -9.112912975795632, -8.536974089075674, -8.21632173929351, -8.086189408715597, -36.10923474196585, -40.58164133511316, -42.20110346347954, -45.70275579853507, -30.762152294231694, -93.94705141340248, -55.21712290694828, -81.97934362587333, -98.45708551406449, -99.85644467488476, -99.99931647612313]"
"[0.956197785059945, 1.0, 1.0]","[2.956197785059945, 67.74709481156863, 25.109942064007317]","[-7.0438022149400545, -5.095968459696188, -5.410377762753952, -5.349193282557439, -6.045310614171238, -5.846579612769416, -5.740661790156833, -7.029680535028536, -7.907531142787407, -7.458902873490647, -9.254666332017461, -8.828273673461679, -8.26973974168806, -15.691362484160209, -32.57196252433948, -39.20966017902634, -43.493094739439584, -44.53943389244995, -31.39483097720267, -95.97094537411918, -56.25531480114963, -81.97597596027568, -98.4554072413775, -99.86939597066976, -99.99938850898027]"
"[0.8127310380204749, 1.0, 1.0]","[2.812731038020475, 76.59476655132224, 32.056808810506105]","[-7.187268961979525, -4.793151397259334, -5.376727863676836, -5.140650275097174, -5.99203045253262, -5.755098978974256, -5.730416668173563, -6.35044658987081, -7.4721037628351406, -6.5884826411773485, -9.066367631918201, -8.435310016465829, -8.201537508634441, -5.505550201905123, -37.347936880244646, -39.67012981849966, -41.775957607069074, -45.28553395843721, -30.586650847036047, -93.12969757575425, -54.80481525045742, -81.97187264108854, -98.45688418873195, -99.85164150930322, -99.99929223646242]"
