X,F,G
"[3.3439049213825207, 2.331516547868657, 3.5465883217145953, 2.379339807702377, 2.825225297817294]","[14.426574896485445, 159.6665988990801, 3.7781614037754654]","[-35.57342510351455, -5.878901646189664, -5.652740962751997, -5.354890929443236, -5.044292074244984, -5.8052084333423695, -4.157509888281252, -9.65094300356083, -9.507612450599158, -8.991597911241897, -8.840350722954325, -9.574715820539804, -7.453927823378615, -48.74998694614662, -49.55129068353628, -47.418576621869335, -48.892347355339076, -48.595730982293844, -41.67619747200072, -99.21263602498544, -53.19130099427244, -82.72218017668555, -98.37498079881063, -99.71327100776003, -99.99970227506536]"
"[10.526384099205105, 7.703991189075279, 4.392367189875149, 5.7494026649584855, 1.3285166426715354]","[29.700661785785552, 113.52493394917518, 1.974219113982321]","[-20.299338214214448, -5.231839648437657, -6.113531157075401, -5.958054737367141, -5.488921524716461, -5.937258847327252, -4.730599455368394, -8.829594209732523, -9.891779545105669, -9.80515243147664, -9.094461977218074, -9.559475686345266, -8.052105202794996, -44.20103203299314, -49.56732999264027, -49.46580394410208, -45.48034164216145, -47.65247164521975, -39.70967526005944, -98.93709238769888, -56.360140473119976, -82.86435403866693, -98.47966835373431, -99.69849196737181, -99.99987416299683]"
"[4.311045734078201, 4.0768935738017165, 2.592679805559688, 2.648542059932362, 1.8907886097431248]","[15.519949783115091, 119.86703111487985, 3.4386036406375013]","[-34.480050216884905, -5.697926567039895, -5.901216100535979, -5.6628548866112896, -5.588748457436746, -5.724114507622017, -4.512596867534837, -9.30065804740566, -9.74439274351707, -9.29712459526396, -9.39132874786905, -9.46763936667253, -7.605773459373162, -46.706563195604225, -49.735739442781906, -47.90608692223579, -47.48657094031341, -47.55912276119825, -39.14849268726276, -99.4171352244214, -55.37725338096847, -82.7952812081937, -98.44824519312247, -99.69175675874679, -99.99975228060124]"
"[8.354816999206271, 6.671650420120493, 6.629631808462368, 7.347106132973415, 5.01429389037245]","[34.01749925113499, 137.45054041724765, 0.2777525521403129]","[-15.982500748865007, -6.063149858491908, -6.069214851484532, -5.919685066735179, -5.846624952423044, -6.055860119470972, -5.456844918480241, -9.895890169996399, -9.932849480582249, -9.837230461848074, -9.828358046458026, -9.916365895119018, -9.574233754362005, -49.80809729921216, -49.97402942496129, -49.821946815255146, -49.930696962606824, -49.859113730077475, -49.295509806453765, -99.89271526549463, -55.39198358255567, -82.86013766137734, -98.47070325307568, -99.71007039894343, -99.99995229246174]"
"[11.026024806026287, 9.201824822250249, 9.102800787187636, 7.382003990337601, 6.147572135839848]","[42.86022654164162, 130.9113186556029, 0.13949270540597325]","[-7.139773458358377, -6.104367562484219, -6.121533674720395, -6.042852928938994, -5.977929195056121, -6.111644718548289, -5.659904764329379, -9.932035200042368, -9.96188533856759, -9.908129737866703, -9.9070545272198, -9.944217267907234, -9.717934122997107, -49.898323617131695, -49.98935230682002, -49.90997482846074, -49.94111296629685, -49.919551998669924, -49.602537516266764, -99.94193232281066, -54.98777107307557, -82.86907881779081, -98.47422732192913, -99.7067266161021, -99.99996961281434]"
"[4.668873647156428, 4.382749487891715, 5.09842743486407, 3.463495206609481, 4.1264057297456045]","[21.739951506267296, 151.94546234170434, 1.0769838413748434]","[-28.260048493732704, -5.983097599013579, -5.887310491454757, -5.728107403096056, -5.513401069921593, -5.9649402756337855, -4.916606886314382, -9.823463812372381, -9.80417732063306, -9.585970546151302, -9.533501421818864, -9.82671273052343, -8.887237535583928, -49.54734820331029, -49.88429339976802, -49.2680159529589, -49.70867989240324, -49.6108127828221, -47.509701756118325, -99.60007479238782, -53.9911896602547, -82.81401061243922, -98.44338592048022, -99.7079475236664, -99.99987488265974]"
"[3.5390286866987153, 2.9502108303334293, 4.6782596701969705, 3.2618079848863513, 3.0862446718169636]","[17.51555184393243, 180.56853362300888, 2.2499853585174603]","[-32.48444815606757, -5.889499539287263, -5.681568215807526, -5.400640057715658, -5.036909480846566, -5.91373118542591, -4.58531866263511, -9.68789597845564, -9.609777673057467, -9.287122295943352, -9.084901751688436, -9.767652519194009, -8.329808302417023, -48.96297473903833, -49.677502069504634, -48.57212820376386, -49.302474235593266, -49.38247665415641, -45.27393403942229, -99.18951109545759, -53.26086054803192, -82.75392109870461, -98.37940848145806, -99.71474049219906, -99.9998117226597]"
"[4.322828085306231, 3.613191387142771, 2.027731352069315, 2.364410214416332, 1.0]","[13.328161038934649, 115.57433525765202, 9.357914467469838]","[-36.67183896106535, -5.105315162731808, -5.883437706434838, -5.5680209253206066, -5.333128797611695, -5.565286201415788, -3.9725697723332916, -7.769672378373098, -9.65784566089261, -9.045253828959739, -8.23400961830389, -9.020724352459117, -5.727495205564308, -32.787475368702246, -49.52251416796096, -45.98931455008292, -36.15849324075245, -41.25690169940199, -12.228237519849714, -98.02986644751826, -55.806591235143344, -82.78594561516272, -98.44566020219618, -99.68954010350421, -99.99963310220582]"
"[6.205376121416588, 5.220841751537684, 6.543604826091495, 4.658419611102228, 5.028853621014759]","[27.657095931162758, 150.81846314663173, 0.517262725852045]","[-22.342904068837242, -6.062102846540231, -5.975253451117468, -5.837476541999002, -5.685421903774755, -6.036157607265257, -5.233787347468851, -9.886753045047028, -9.87932146634244, -9.745782420418253, -9.711651931203953, -9.890095398714768, -9.327919337297853, -49.77071275418393, -49.94370492664692, -49.65117739416363, -49.85858680903326, -49.799903361901166, -48.79204913544575, -99.78032943164318, -54.25771739438747, -82.84364554693597, -98.45752062553183, -99.711790320478, -99.99992459662477]"
"[4.3748197535125275, 3.821328539295193, 4.983775218470618, 3.3174145132117596, 3.3509269205219807]","[19.84826494501208, 153.56850245163025, 1.407030532917001]","[-30.15173505498792, -5.95627228106077, -5.840763400345365, -5.6638696636609565, -5.417290039357951, -5.947948404529006, -4.877350444682653, -9.751787502297383, -9.762757576861752, -9.521606427458632, -9.436475256301769, -9.795674137581946, -8.707391092402558, -49.26450145497545, -49.84885152135928, -49.07139951025431, -49.62494133869162, -49.447363392927734, -46.56911188079391, -99.56137210203515, -53.750898461184335, -82.80183522010621, -98.4321354848711, -99.71253324263446, -99.99985638335166]"
"[8.377315574278303, 5.965537671930525, 3.7364802290996897, 4.221039219558666, 1.2863560733527126]","[23.586728768219896, 113.15368321067572, 2.7879053201948665]","[-26.413271231780104, -5.287467036231613, -6.0669587180441376, -5.887836941890002, -5.5372377573532106, -5.872637842780495, -4.7048932334977716, -8.719558163085157, -9.879873108768637, -9.69829559823755, -9.000571851001535, -9.498045978619196, -7.7863502982094275, -43.00050837657625, -49.58223012131049, -49.10886432886659, -44.447703217665435, -46.9727172832268, -36.766577808626565, -98.84725045551501, -56.18639695924735, -82.85512870572633, -98.47387878777045, -99.69809827661777, -99.9998527306621]"
"[2.792478986873896, 1.405344320114071, 1.9821928346354827, 2.104499982729895, 1.2428374426584998]","[9.527353567011845, 141.20199984057996, 13.718857829957676]","[-40.47264643298816, -5.376233569910839, -5.484482756610064, -4.896658350589474, -4.560849881567905, -5.392975454726439, -3.3180306348731006, -8.466420755269667, -9.06719582460112, -7.83479709674687, -7.653548573775448, -8.747507289867459, -4.363919703606136, -39.66467271836706, -48.53051973320159, -41.440866198885786, -46.2397292279462, -41.72846041603694, -12.929099241146915, -98.61975692154216, -52.307680667811695, -82.42737705311174, -98.2868637490933, -99.7057550686987, -99.99932697687873]"
"[3.3719808344153552, 3.190749143145234, 4.2385192026801235, 2.5633662536717465, 2.9455127902488174]","[16.31012822416128, 162.73740148219193, 2.6182909507731775]","[-33.689871775838725, -5.862585045864829, -5.704695681564035, -5.499628296872579, -5.141074248014113, -5.869899242997598, -4.507176275913587, -9.658880951774902, -9.620177192169898, -9.260221769006147, -9.106263335113983, -9.719293999691553, -8.031484039992216, -48.792695970170335, -49.70494573507353, -48.262587419637434, -49.27701861040438, -49.130701555449335, -43.90906382602758, -99.1968240767825, -53.20538565978433, -82.74429248614526, -98.39990784899582, -99.71202424653131, -99.99977929098364]"
"[5.8226773155130065, 4.749375988919279, 6.2969297877482235, 3.5227475242116904, 4.145115711309728]","[24.536846327701927, 148.06280684076887, 0.7422497493582576]","[-25.463153672298073, -6.02148852156807, -5.9455834827850484, -5.8300732891881, -5.632958257414292, -6.007765256279784, -5.12808114988038, -9.846548854716684, -9.857273409830931, -9.701419751759945, -9.667736580463895, -9.84486546384524, -9.105353850592746, -49.64211964479918, -49.92977564925425, -49.49296383699069, -49.82439126839139, -49.653362992827255, -48.03397213437294, -99.75531438952123, -53.520393187562306, -82.83735448350959, -98.45370769796394, -99.7129903664589, -99.99989879395469]"
"[3.2024784915341384, 2.7558511607804577, 1.6047399807442817, 1.9445583300861435, 1.36985932974539]","[10.877487292890411, 120.86244789751227, 10.03587356622467]","[-39.12251270710959, -5.476977605679621, -5.759552958438592, -5.336001004692367, -5.332340656846617, -5.408037516381662, -3.6727085175118193, -8.64788353143676, -9.478164079186362, -8.459129795800605, -8.829809283505142, -8.820551413599064, -5.0687707681843, -41.0998967178987, -49.09587978280503, -43.63367144910839, -43.58128345308437, -42.70737948013084, -19.394951708472693, -98.88617293912, -55.017849764814585, -82.70463903163744, -98.41643675551204, -99.68933646929285, -99.999477133841]"
"[2.322693329329, 1.6694926592756982, 2.141972966118438, 1.0, 1.5979801978955441]","[8.732139152618682, 146.95750609216827, 17.47328850934099]","[-41.267860847381314, -5.59148663243649, -5.413461640155619, -5.127297347928167, -4.669990554700597, -5.448166279868925, -2.6263181198138343, -9.071369048556791, -8.9324849427379, -7.5885478902657635, -7.677893373676035, -8.453331583228236, -1.9073332524886837, -44.75481328845231, -47.40826866079048, -37.32919914406963, -43.97183587500052, -40.56134446462774, -1.4874695471422186, -98.19555527646484, -50.8627771056637, -82.52242385256787, -98.31001167633464, -99.70761230357519, -99.99906057215289]"
"[8.654404409565116, 6.264664630282471, 6.589776971381858, 4.9828803102420665, 4.130711828612117]","[30.622438150083628, 127.64816520445049, 0.402216255257484]","[-19.377561849916372, -6.015608544255873, -6.066698186649114, -5.960969541597134, -5.8761729621051515, -6.038428541812681, -5.4078638914740225, -9.854516291945766, -9.928415413836948, -9.823701007080635, -9.828721388009024, -9.87983737595604, -9.421667139795904, -49.685957219864754, -49.97323090894701, -49.74471654117842, -49.771711210467934, -49.74148956464705, -48.785503383698334, -99.87841218939836, -54.77990635717872, -82.8602219141465, -98.46896436267906, -99.71174424434736, -99.99993775323553]"
